Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TA,Live animals,9,Argentina,5908,Export Quantity,1096,Horses,1962,1962,Head,2386,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,1096,Horses,1962,1962,Head,66,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,1096,Horses,1962,1962,Head,0,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,1096,Horses,1962,1962,Head,0,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,1096,Horses,1962,1962,Head,4,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,1096,Horses,1962,1962,Head,46,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,1096,Horses,1962,1962,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,1096,Horses,1962,1962,Head,230,F,FAO estimate
TA,Live animals,234,Uruguay,5908,Export Quantity,1096,Horses,1962,1962,Head,0,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,1096,Horses,1962,1962,Head,0,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,1096,Horses,1962,1962,Head,56,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1096,Horses,1962,1962,Head,74,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1962,1962,Head,0,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1096,Horses,1962,1962,Head,800,*,Unofficial figure
TA,Live animals,170,Peru,5908,Export Quantity,1096,Horses,1962,1962,Head,57,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,1096,Horses,1962,1962,Head,218,,Official data
TA,Live animals,169,Paraguay,5908,Export Quantity,1096,Horses,1962,1962,Head,0,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,1096,Horses,1962,1962,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,976,Sheep,1962,1962,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,976,Sheep,1962,1962,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,976,Sheep,1962,1962,Head,1830,*,Unofficial figure
TA,Live animals,234,Uruguay,5908,Export Quantity,976,Sheep,1962,1962,Head,45379,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,976,Sheep,1962,1962,Head,0,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,976,Sheep,1962,1962,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,976,Sheep,1962,1962,Head,44863,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,976,Sheep,1962,1962,Head,1800,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,976,Sheep,1962,1962,Head,0,,Official data
