Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,1998,1998,Head,0,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,1999,1999,Head,10,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2000,2000,Head,134,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2001,2001,Head,104,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2003,2003,Head,37,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2004,2004,Head,112,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2008,2008,Head,171,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2009,2009,Head,3101,*,Unofficial figure
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2010,2010,Head,126,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2011,2011,Head,788,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2012,2012,Head,280,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,866,Cattle,2013,2013,Head,61,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1016,Goats,1998,1998,Head,0,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1986,1986,Head,41,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1987,1987,Head,12,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1988,1988,Head,2,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1990,1990,Head,10,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1991,1991,Head,6,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1992,1992,Head,4,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1994,1994,Head,0,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1995,1995,Head,1,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,1996,1996,Head,3,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5608,Import Quantity,1096,Horses,2005,2005,Head,1,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1986,1986,Head,1230,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1987,1987,Head,1669,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1988,1988,Head,751,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1989,1989,Head,610,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1990,1990,Head,432,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1991,1991,Head,535,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1992,1992,Head,79,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1993,1993,Head,77,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1994,1994,Head,102,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1995,1995,Head,87,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1996,1996,Head,10,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1997,1997,Head,22,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1998,1998,Head,0,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,1999,1999,Head,44,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2000,2000,Head,2,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2001,2001,Head,4,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2006,2006,Head,64,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2007,2007,Head,74,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2008,2008,Head,232,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2009,2009,Head,144,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2010,2010,Head,181,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2011,2011,Head,24,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2012,2012,Head,105,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1096,Horses,2013,2013,Head,132,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1034,Pigs,2012,2012,Head,742,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,1034,Pigs,2013,2013,Head,20,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1986,1986,Head,135,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1987,1987,Head,491,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1988,1988,Head,197,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1989,1989,Head,243,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1990,1990,Head,1039,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1991,1991,Head,2204,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1992,1992,Head,533,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1993,1993,Head,469,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1994,1994,Head,709,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1996,1996,Head,2,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1997,1997,Head,19,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,1999,1999,Head,481,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,2001,2001,Head,23,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,2004,2004,Head,8,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,2009,2009,Head,445,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,2010,2010,Head,43,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,2011,2011,Head,556,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,2012,2012,Head,229,,Official data
TM,Detailed trade matrix,234,Uruguay,169,Paraguay,5908,Export Quantity,976,Sheep,2013,2013,Head,766,,Official data
TM,Detailed trade matrix,234,Uruguay,170,Peru,5908,Export Quantity,866,Cattle,1986,1986,Head,168,,Official data
TM,Detailed trade matrix,234,Uruguay,170,Peru,5908,Export Quantity,866,Cattle,1995,1995,Head,242,,Official data
