"from","to","distance","flow","year","popFrom","popTo","year.1"
"Ecuador","Argentina",3999.3326249303,0,"1988",1226300,29167008,"1988"
"Paraguay","Argentina",1481.30586680423,0,"1988",432100,29167008,"1988"
"Peru","Argentina",3042.91337969977,6,"1988",12922000,29167008,"1988"
"Uruguay","Argentina",886.025785928525,12510,"1988",24689168,29167008,"1988"
"Venezuela","Argentina",4709.22119899415,0,"1988",323800,29167008,"1988"
"Argentina","Bolivia",2056.02752105864,520,"1988",29167008,7505493,"1988"
"Bolivia","Bolivia",0,0,"1988",7505493,7505493,"1988"
"Brazil","Bolivia",1406.69570016608,0,"1988",20084880,7505493,"1988"
"Chile","Bolivia",2150.12404536596,0,"1988",5300000,7505493,"1988"
"Colombia","Bolivia",2474.21126193179,0,"1988",2542000,7505493,"1988"
"Ecuador","Bolivia",2272.50983152685,0,"1988",1226300,7505493,"1988"
"Paraguay","Bolivia",978.129744567879,0,"1988",432100,7505493,"1988"
"Peru","Bolivia",1346.81559926284,0,"1988",12922000,7505493,"1988"
"Uruguay","Bolivia",1988.1166048493,0,"1988",24689168,7505493,"1988"
"Venezuela","Bolivia",2657.95864060761,0,"1988",323800,7505493,"1988"
"Argentina","Brazil",2970.62008811255,211,"1988",29167008,20084880,"1988"
"Bolivia","Brazil",1406.69570016608,0,"1988",7505493,20084880,"1988"
"Brazil","Brazil",9.50453877449036e-05,0,"1988",20084880,20084880,"1988"
"Chile","Brazil",3263.9546339556,0,"1988",5300000,20084880,"1988"
"Colombia","Brazil",2751.42249501054,0,"1988",2542000,20084880,"1988"
"Ecuador","Brazil",2984.04262936217,0,"1988",1226300,20084880,"1988"
"Paraguay","Brazil",1489.69662074046,0,"1988",432100,20084880,"1988"
"Peru","Brazil",2335.42519419623,0,"1988",12922000,20084880,"1988"
"Uruguay","Brazil",2459.62642648411,14,"1988",24689168,20084880,"1988"
"Venezuela","Brazil",2467.66256692768,0,"1988",323800,20084880,"1988"
"Argentina","Chile",549.236062178285,0,"1988",29167008,5300000,"1988"
"Bolivia","Chile",2150.12404536596,0,"1988",7505493,5300000,"1988"
"Brazil","Chile",3263.9546339556,0,"1988",20084880,5300000,"1988"
"Chile","Chile",0,0,"1988",5300000,5300000,"1988"
"Colombia","Chile",4348.83354270014,0,"1988",2542000,5300000,"1988"
"Ecuador","Chile",3824.43442207705,0,"1988",1226300,5300000,"1988"
"Paraguay","Chile",1812.53392353318,0,"1988",432100,5300000,"1988"
"Peru","Chile",2907.26314858048,0,"1988",12922000,5300000,"1988"
"Uruguay","Chile",1425.34334919956,0,"1988",24689168,5300000,"1988"
"Venezuela","Chile",4731.36564349597,0,"1988",323800,5300000,"1988"
"Argentina","Colombia",4428.06221883752,0,"1988",29167008,2542000,"1988"
"Bolivia","Colombia",2474.21126193179,0,"1988",7505493,2542000,"1988"
"Brazil","Colombia",2751.42249501054,0,"1988",20084880,2542000,"1988"
"Chile","Colombia",4348.83354270014,0,"1988",5300000,2542000,"1988"
"Colombia","Colombia",0,0,"1988",2542000,2542000,"1988"
"Ecuador","Colombia",840.344466338468,0,"1988",1226300,2542000,"1988"
"Paraguay","Colombia",3415.921941428,0,"1988",432100,2542000,"1988"
"Peru","Colombia",1462.40463082501,0,"1988",12922000,2542000,"1988"
"Uruguay","Colombia",4461.84126189406,0,"1988",24689168,2542000,"1988"
"Venezuela","Colombia",840.85503052881,0,"1988",323800,2542000,"1988"
"Argentina","Ecuador",3999.3326249303,0,"1988",29167008,1226300,"1988"
"Bolivia","Ecuador",2272.50983152685,0,"1988",7505493,1226300,"1988"
"Brazil","Ecuador",2984.04262936217,0,"1988",20084880,1226300,"1988"
"Chile","Ecuador",3824.43442207705,0,"1988",5300000,1226300,"1988"
"Colombia","Ecuador",840.344466338468,0,"1988",2542000,1226300,"1988"
"Ecuador","Ecuador",0,0,"1988",1226300,1226300,"1988"
"Paraguay","Ecuador",3250.23740422779,0,"1988",432100,1226300,"1988"
"Peru","Ecuador",970.593580094301,0,"1988",12922000,1226300,"1988"
"Uruguay","Ecuador",4202.77606287468,0,"1988",24689168,1226300,"1988"
"Venezuela","Ecuador",1657.06351856764,0,"1988",323800,1226300,"1988"
