state	c_allTransitions[1]
1.608E7	28.0
1.609E7	27.0
1.61E7	29.0
1.611E7	24.0
1.612E7	32.0
1.613E7	27.0
1.614E7	29.0
1.615E7	27.0
1.616E7	25.0
1.617E7	26.0
1.618E7	25.0
1.619E7	24.0
1.62E7	26.0
1.621E7	26.0
1.622E7	26.0
1.623E7	24.0
1.624E7	24.0
1.625E7	24.0
1.626E7	25.0
1.627E7	24.0
1.628E7	25.0
1.629E7	31.0
1.63E7	25.0
1.631E7	26.0
1.632E7	26.0
1.633E7	30.0
1.634E7	32.0
1.635E7	25.0
1.636E7	24.0
1.637E7	25.0
1.638E7	24.0
1.639E7	26.0
1.64E7	23.0
1.641E7	25.0
1.642E7	28.0
1.643E7	26.0
1.644E7	26.0
1.645E7	27.0
1.646E7	26.0
1.647E7	28.0
1.648E7	27.0
1.649E7	26.0
1.65E7	29.0
1.651E7	25.0
1.652E7	27.0
1.653E7	24.0
1.654E7	25.0
1.655E7	27.0
1.656E7	26.0
1.657E7	28.0
1.658E7	26.0
1.659E7	24.0
1.66E7	26.0
1.661E7	28.0
1.662E7	26.0
1.663E7	25.0
1.664E7	25.0
1.665E7	27.0
1.666E7	24.0
1.667E7	25.0
1.668E7	25.0
1.669E7	25.0
1.67E7	27.0
1.671E7	30.0
1.672E7	31.0
1.673E7	27.0
1.674E7	27.0
1.675E7	23.0
1.676E7	25.0
1.677E7	26.0
1.678E7	24.0
1.679E7	24.0
1.68E7	24.0
1.681E7	26.0
1.682E7	24.0
1.683E7	27.0
1.684E7	24.0
1.685E7	26.0
1.686E7	24.0
1.687E7	25.0
1.688E7	24.0
1.689E7	24.0
1.69E7	26.0
1.691E7	24.0
1.692E7	25.0
1.693E7	24.0
1.694E7	26.0
1.695E7	25.0
1.696E7	24.0
1.697E7	25.0
1.698E7	27.0
1.699E7	26.0
1.7E7	24.0
1.701E7	24.0
1.702E7	25.0
1.703E7	25.0
1.704E7	24.0
1.705E7	25.0
1.706E7	25.0
1.707E7	25.0
1.708E7	25.0
1.709E7	26.0
1.71E7	27.0
1.711E7	27.0
1.712E7	24.0
1.713E7	24.0
1.714E7	26.0
1.715E7	26.0
1.716E7	24.0
1.717E7	24.0
1.718E7	25.0
1.719E7	24.0
1.72E7	24.0
1.721E7	24.0
1.722E7	25.0
1.723E7	25.0
1.724E7	26.0
1.725E7	25.0
1.726E7	25.0
1.727E7	25.0
1.728E7	25.0
1.729E7	25.0
1.73E7	27.0
1.731E7	25.0
1.732E7	26.0
1.733E7	24.0
1.734E7	25.0
1.735E7	24.0
1.736E7	25.0
1.737E7	25.0
1.738E7	24.0
1.739E7	25.0
1.74E7	24.0
