Time	Mean	Median	Upper	Lower
2002.6292035275	18.207893661	17.1373389298	33.2609682425	9.5006228368
2002.7929990046	16.6134458435	15.7049296285	29.7670068027	8.7064873703
2002.9567944818	14.9630506394	14.1695245735	26.5661273291	7.8251127994
2003.120589959	14.2477745327	13.5368801745	24.9978205401	7.5006780289
2003.2843854361	13.5310515049	12.879239743	23.7062134108	7.1190346959
2003.4481809133	12.7397762485	12.1439073476	22.0538276107	6.7775475436
2003.6119763905	12.1946683052	11.6338508308	21.1121878072	6.5276047695
2003.7757718676	11.9522193771	11.3861147274	20.9009366763	6.4721441326
2003.9395673448	11.9160221039	11.3273722878	20.8694039184	6.4951959223
2004.103362822	11.6744947371	11.0951657099	20.3215346223	6.35337392
2004.2671582991	11.1884124778	10.6459873851	19.5777028739	6.0506515812
2004.4309537763	10.5343737241	10.0554581943	18.1405325555	5.7171459864
2004.5947492535	10.1194812188	9.7017646311	17.1980685599	5.5644544923
2004.7585447307	10.0182403123	9.5742840784	17.049955403	5.4968298139
2004.9223402078	10.142336864	9.6479365945	17.7461961256	5.4862416273
2005.086135685	10.4224170594	9.8678327848	18.6079977081	5.4739960749
2005.2499311622	10.7232992081	10.108683145	19.6014207314	5.5634154163
2005.4137266393	11.0204968894	10.3055492783	20.7162688455	5.5805029516
2005.5775221165	11.2326286905	10.3847228256	21.8954760613	5.5196312502
2005.7413175937	11.210751344	10.2557003325	22.6183376583	5.3531931582
2005.9051130708	10.8242115795	9.8064134126	22.8259080384	4.9219336769
2006.068908548	10.471594091	9.4667459159	22.0853469605	4.7542954932
2006.2327040252	10.2077862243	9.2160746947	21.5747564519	4.6438873081
2006.3964995023	9.9257197708	8.9211042522	21.3557826869	4.4964038836
2006.5602949795	9.5554640718	8.5594989525	20.661176799	4.2811124758
2006.7240904567	9.0297191521	8.0657618311	19.6877729174	4.0290988996
2006.8878859338	8.3334045301	7.4624004905	18.1933967051	3.6767213452
2007.051681411	7.6001366757	6.8139418841	16.6758219093	3.2731214411
2007.2154768882	6.8069293231	6.0992441506	15.0515202269	2.8732527243
2007.3792723653	5.9414220926	5.3205384621	13.1400310469	2.4534699171
2007.5430678425	5.0719147201	4.5791675253	11.0189290611	2.0876516169
2007.7068633197	4.332489857	3.9459945414	9.2215269469	1.781689581
2007.8706587968	3.7820676399	3.4665933606	7.8527732104	1.526706149
2008.034454274	3.4381294685	3.1814316632	6.9762674075	1.4062469083
2008.1982497512	3.173697181	2.9470448627	6.3821500132	1.3209705388
2008.3620452283	2.8978318898	2.7076357398	5.7321713934	1.2360937734
2008.5258407055	2.658705987	2.4853136628	5.1647458956	1.1579797562
2008.6896361827	2.5178338329	2.3554418794	4.8035169567	1.1387348519
2008.8534316598	2.4603069919	2.3016081323	4.7024159121	1.1555742873
2009.017227137	2.3728190635	2.2083085916	4.5837265053	1.114897105
2009.1810226142	2.2783949915	2.1226050046	4.3882362009	1.0635726048
2009.3448180913	2.1678215706	2.0120875791	4.2056788009	0.9972392639
2009.5086135685	2.0285450006	1.8700210481	4.0560855797	0.9076254664
2009.6724090457	1.8352473355	1.6791382749	3.8024236724	0.7796553276
2009.8362045228	1.6075161778	1.437393082	3.6132556674	0.6049360343
2010	1.548866425	1.3621851754	3.6920723137	0.4907422504
